Level1,Level3,Level2,Var
Usaquén,Guayacan de Manizales,97,73
Chapinero,Cerezo,111,73
Usme,Alcaparro doble,212,73
Usme,Falso pimiento,212,73
Bosa,Holly espinoso,182,73
Kennedy,Cucharo,23,73
Fontibón,"Nogal, cedro nogal, cedro negro",12,73
Fontibón,Sombrilla japonesa,102,73
Suba,Calistemo lloron,93,73
Suba,Eugenia,53,73
Barrios Unidos,Sauce llorón,10,73
Teusaquillo,Café,13,73
Puente Aranda,Cucharo,19,73
Puente Aranda,Guayacán de Manizales,20,73
Puente Aranda,"Nogal, cedro nogal, cedro negro",20,73
Rafael Uribe Uribe,"Palma de yuca, Palma de bayoneta",28,73
Ciudad Bolívar,Cucharo,193,73
Ciudad Bolívar,Ligustrum,197,73
Usaquén,Sauce lloron,94,72
Chapinero,Durazno comun,110,72
Chapinero,Roble,111,72
Santa Fe,"Liquidambar, estoraque",164,72
San Cristóbal,Jazmin de la china,201,72
San Cristóbal,Jazmin de la china,204,72
Usme,Arrayan,219,72
Usme,Sietecueros nazareno,36,72
Usme,Tinto,36,72
Kennedy,Abutilon rojo y amarillo (Farolito),23,72
Kennedy,Arrayan blanco,142,72
Kennedy,Chilco,142,72
Kennedy,Eucalipto,138,72
Kennedy,Hayuelo,163,72
Engativá,"Cipres, Pino cipres, Pino",96,72
Engativá,Sauce lloron,99,72
Suba,Falso pimiento,3,72
Suba,Fucsia arbustiva,61,72
Suba,Sauco,60,72
Barrios Unidos,Palma fénix,8,72
Teusaquillo,Palma de datiles,13,72
Teusaquillo,Sombrilla japonesa,13,72
Los Mártires,Araucaria,165,72
Ciudad Bolívar,Acacia de jardín,193,72
Ciudad Bolívar,Arrayan blanco,195,72
Usme,Gaque,36,71
Tunjuelito,Garrocho,27,71
Bosa,Cayeno,182,71
Bosa,Chicala rosado,147,71
Bosa,Cucharo,182,71
Bosa,Laurel de cera,182,71
Bosa,Roble australiano,158,71
Kennedy,Eucalipto común,143,71
Fontibón,Sauce lloron,12,71
Engativá,"Cajeto, garagay, urapo",61,71
Engativá,Guayacan de Manizales,98,71
Suba,Calistemo lloron,60,71
Suba,Cucharo,60,71
Teusaquillo,Guayacan de Manizales,15,71
Teusaquillo,Milflores,160,71
Antonio Nariño,"Pino colombiano, pino de pacho, pino romeron",26,71
Puente Aranda,Eucalipto pomarroso,20,71
Puente Aranda,Palma payanesa,16,71
Usaquén,"Cedro, cedro andino, cedro clavel",97,70
Usaquén,Guayabo del peru,105,70
Usaquén,Guayacán de Manizales,105,70
Usaquén,Mano de oso,97,70
Usaquén,"Ocobo, Guayacan",105,70
Santa Fe,Araucaria,164,70
Santa Fe,Sietecueros real,164,70
San Cristóbal,Salton o Charne,196,70
Usme,Falso pimiento,219,70
Usme,"Liquidámbar, estoraque",36,70
Bosa,Alcaparro enano,182,70
Bosa,Eucalipto pomarroso,147,70
Bosa,Mangle de tierra fria,161,70
Kennedy,"Chicala, chirlobirlo, flor amarillo",148,70
Fontibón,Arbol de corcho,102,70
Fontibón,Hayuelo,108,70
Fontibón,Jazmin de la china,109,70
Fontibón,"Palma de cera, Palma blanca",118,70
Engativá,"Ciprés Japones, criptomeria",96,70
Engativá,Mano de oso,61,70
Engativá,Roble,11,70
Suba,Granado,37,70
Barrios Unidos,"Cedro, cedro andino, cedro clavel",10,70
Barrios Unidos,Pitosporo,8,70
Teusaquillo,Fucsia,13,70
Teusaquillo,"Palma de cera, Palma de ramo",13,70
Teusaquillo,"Pino colombiano, chaquiro",15,70
Puente Aranda,"Cajeto, garagay, urapo",22,70
Puente Aranda,Carbonero rojo,22,70
Puente Aranda,Milflores,22,70
Puente Aranda,"Urapán, Fresno",22,70
Usaquén,Calistemo,97,69
Usaquén,Pino libro,105,69
Chapinero,Cerezo,152,69
Chapinero,Mano de oso,110,69
Chapinero,"Pino colombiano, chaquiro",110,69
San Cristóbal,Arrayan blanco,204,69
Usme,"Espino, Garbancillo",219,69
Kennedy,Abutilón blanco,138,69
Kennedy,Cayeno,156,69
Kennedy,Eucalipto plateado,138,69
Fontibón,Sietecueros real,113,69
Suba,"Sangregao, drago, croto",351,69
Suba,Yarumo,37,69
Barrios Unidos,Eugenia,112,69
Los Mártires,"Cajeto, garagay, urapo",165,69
Puente Aranda,Pajarito,16,69
La Candelaria,Jazmin de la china,191,69
Rafael Uribe Uribe,"Chicala, chirlobirlo, flor amarillo",35,69
Ciudad Bolívar,Chilco,202,69
Usaquén,Cayeno,105,68
Usaquén,Citrus spp.,38,68
Usaquén,Guayacan de Manizales,64,68
Usaquén,Limón,38,68
Chapinero,Alcaparro enano,110,68
Chapinero,"Palma de yuca, Palma de bayoneta",110,68
Chapinero,"Urapán, Fresno",111,68
Bosa,Aguacate,147,68
Bosa,"Cajeto, garagay, urapo",147,68
Kennedy,Dividivi de tierra fría,138,68
Kennedy,Holly liso,163,68
Kennedy,"Jazmin del cabo, laurel huesito",163,68
Kennedy,"Jazmín del cabo, laurel huesito",143,68
Kennedy,Mangle de tierra fria,23,68
Kennedy,Níspero,138,68
Engativá,Mangle de tierra fría,7,68
Suba,Alcaparro enano,61,68
Suba,Arboloco,62,68
Suba,Palma washingtoniana,37,68
Teusaquillo,"Jazmin del cabo, laurel huesito",14,68
Puente Aranda,Mangle de tierra fria,20,68
Rafael Uribe Uribe,Roble,28,68
Ciudad Bolívar,"Cajeto, garagay, urapo",197,68
Ciudad Bolívar,Caucho sabanero,203,68
Ciudad Bolívar,Roble,195,68
Ciudad Bolívar,Tomatillo,195,68
Usaquén,Eugenia,101,67
Chapinero,Helecho palma,110,67
Chapinero,Trompeto,110,67
Santa Fe,Pajarito,164,67
San Cristóbal,Abutilon blanco,204,67
Usme,Sauco,219,67
Tunjuelito,Abutilón rojo y amarillo,27,67
Tunjuelito,"Grevilia, roble australiano",27,67
Bosa,"Liquidambar, estoraque",158,67
Kennedy,Abelia,143,67
Kennedy,Milflores,157,67
Fontibón,"Tibar, pagoda o rodamonte",6,67
Engativá,Eugenia,98,67
Engativá,Sauco,104,67
Suba,"Aliso, fresno, chaquiro",351,67
Suba,"Cedro, cedro andino, cedro clavel",61,67
Suba,Roble,60,67
Barrios Unidos,Abutilón blanco,8,67
Teusaquillo,Fucsia arbustiva,15,67
Teusaquillo,Poligala,15,67
Antonio Nariño,Carbonero rojo,26,67
Puente Aranda,Alcaparro enano,16,67
Puente Aranda,"Aliso, fresno, chaquiro",16,67
Ciudad Bolívar,Roble,193,67
Usaquén,Aguacate,38,66
Usaquén,Algodoncillo,38,66
Usaquén,Carbonero rojo,97,66
Usaquén,Pino,38,66
Chapinero,"Jazmin del cabo, laurel huesito",111,66
Santa Fe,Jazmin de la china,356,66
San Cristóbal,Arrayan,204,66
San Cristóbal,Milflores,204,66
San Cristóbal,Sauce llorón,196,66
Usme,"Palma de yuca, Palma de bayoneta",36,66
Usme,Pino romeron,342,66
Tunjuelito,Arrayán blanco,27,66
Tunjuelito,"Caucho de la india, caucho",27,66
Bosa,Alcaparro doble,147,66
Kennedy,Alcaparro enano,23,66
Fontibón,"Ayer, hoy y mañana",102,66
Engativá,Cipres,96,66
Engativá,"Palma de cera, Palma blanca",5,66
Engativá,Sietecueros real,98,66
Suba,Cipres,355,66
Suba,Falso pimiento,355,66
Suba,Falso pimiento,60,66
Suba,"Jazmin del cabo, laurel huesito",351,66
Barrios Unidos,Mano de oso,10,66
Barrios Unidos,Naranjo,8,66
Teusaquillo,Aguacate,13,66
Puente Aranda,Guayacan de Manizales,20,66
Rafael Uribe Uribe,"Buganbil, veranera",36,66
Usaquén,Holly liso,94,65
Chapinero,Cipres italiano,110,65
Santa Fe,"Cedro, cedro andino, cedro clavel",164,65
San Cristóbal,"Acacia negra, gris",199,65
San Cristóbal,Ligustrum,199,65
Usme,Sangregado,36,65
Usme,Tibar,219,65
Tunjuelito,Cucharo,27,65
Bosa,Garbancillo,182,65
Kennedy,"Acacia negra, gris",142,65
Kennedy,Jazmin de la china,157,65
Kennedy,Mangle de tierra fria,142,65
Fontibón,"Chicalá, chirlobirlo, flor amarillo",12,65
Fontibón,Hayuelo,12,65
Engativá,Guayacan de Manizales,104,65
Engativá,Palma Alejandra,100,65
Suba,Arrayán,351,65
Suba,Arrayan negro,62,65
Suba,Guayacan de Manizales,37,65
Suba,Jazmin de la china,60,65
Suba,"Jazmin del cabo, laurel huesito",352,65
Suba,Palma Alejandra,61,65
Suba,"Pino colombiano, chaquiro",351,65
Teusaquillo,"Chicala, chirlobirlo, flor amarillo",160,65
Los Mártires,Jazmin de la china,165,65
Antonio Nariño,Acacia morada,26,65
Puente Aranda,Ligustrum,19,65
La Candelaria,Corono,191,65
Rafael Uribe Uribe,Falso pimiento,35,65
Rafael Uribe Uribe,Holly liso,31,65
Usaquén,"Aliso, fresno, chaquiro",94,64
Usaquén,Caucho lira,105,64
Chapinero,Salvio morado,110,64
Santa Fe,"Jazmin del cabo, laurel huesito",164,64
San Cristóbal,Garrocho,196,64
Bosa,Ciro,182,64
Bosa,Eucalipto,147,64
Bosa,Magnolio,147,64
Bosa,Pino pátula,147,64
Kennedy,Arrayan negro,138,64
Kennedy,Jazmín de la china,148,64
Kennedy,"Palma de cera, Palma blanca",18,64
Fontibón,"Nogal, cedro nogal, cedro negro",6,64
Fontibón,"Palma de cera, Palma de ramo",102,64
Engativá,Ciprés enano,96,64
Suba,Alcaparro enano,2,64
Suba,Fucsia arbustiva,355,64
Suba,"Palma de cera, Palma blanca",351,64
Suba,Pino romeron,351,64
Barrios Unidos,"Chicala, chirlobirlo, flor amarillo",10,64
Puente Aranda,Araucaria crespa,16,64
Puente Aranda,Jazmin de la china,22,64
Rafael Uribe Uribe,Acacia morada,28,64
Ciudad Bolívar,Eugenia,195,64
Usaquén,Acacia morada,105,63
Usaquén,Mangle de tierra fria,56,63
Santa Fe,"Nogal, cedro nogal, cedro negro",356,63
San Cristóbal,Ciro,204,63
San Cristóbal,Feijoa,196,63
Usme,Corono,212,63
Usme,Hayuelo,204,63
Kennedy,Caucho tequendama,23,63
Kennedy,Chiripique,23,63
Kennedy,"Pino colombiano, pino de pacho, pino romerón",138,63
Kennedy,Roble,157,63
Fontibón,Jazmin de la china,6,63
Engativá,Abutilón blanco,96,63
Engativá,"Cajeto, garagay, urapo",98,63
Engativá,Ligustrum,98,63
Suba,"Liquidambar, estoraque",60,63
Suba,Manzano,37,63
Barrios Unidos,Calistemo lloron,9,63
Teusaquillo,"Sangregao, drago, croto",17,63
Los Mártires,"Caucho de la india, caucho",165,63
Puente Aranda,Pajarito,22,63
La Candelaria,"Liquidambar, estoraque",191,63
La Candelaria,"Nogal, cedro nogal, cedro negro",191,63
Ciudad Bolívar,Calistemo,195,63
Ciudad Bolívar,Garrocho,195,63
Usaquén,Arrayán,38,62
Usaquén,"Nogal, cedro nogal, cedro negro",94,62
Usaquén,Sauco,56,62
Chapinero,Sauco,111,62
San Cristóbal,Caballero de la noche,204,62
San Cristóbal,"Chicala, chirlobirlo, flor amarillo",192,62
San Cristóbal,Cucharo,204,62
San Cristóbal,"Pino colombiano, chaquiro",204,62
Usme,Garrocho,219,62
Usme,Higuerillo,36,62
Tunjuelito,"Palma de cera, Palma blanca",27,62
Tunjuelito,Roble australiano,27,62
Kennedy,Corono,159,62
Kennedy,Fucsia arbustiva,21,62
Fontibón,Eugenia,109,62
Fontibón,Roble,109,62
Fontibón,"Sangregao, drago, croto",12,62
Engativá,Palma de datiles,96,62
Suba,"Cipres, Pino cipres, Pino",355,62
Suba,Helecho palma,37,62
Suba,"Liquidambar, estoraque",62,62
Suba,"Pino colombiano, pino de pacho, pino romeron",60,62
Suba,Pino libro,61,62
Los Mártires,Eucalipto pomarroso,165,62
Los Mártires,"Sangregao, drago, croto",165,62
Antonio Nariño,Abutilón rojo y amarillo,26,62
Puente Aranda,Aligustre del Japon,16,62
Rafael Uribe Uribe,"Chicala, chirlobirlo, flor amarillo",33,62
Rafael Uribe Uribe,Eugenia,30,62
Ciudad Bolívar,Metrosideros,195,62
Usaquén,Amarrabollo,38,61
Chapinero,"Acacia negra, gris",111,61
Santa Fe,Acacia morada,164,61
Santa Fe,Cayeno,164,61
Santa Fe,"Chicala, chirlobirlo, flor amarillo",356,61
Santa Fe,Tominejero,164,61
San Cristóbal,Chicala rosado,204,61
San Cristóbal,Eugenia,32,61
San Cristóbal,Guayacan de Manizales,196,61
Usme,"Cajeto, garagay, urapo",217,61
Usme,Caucho tequendama,36,61
Usme,"Cedro, cedro andino, cedro clavel",204,61
Usme,Pino libro,36,61
Tunjuelito,"Duraznillo, velitas",27,61
Bosa,Cipres,147,61
Bosa,Roble australiano,147,61
Kennedy,Jazmin de la china,156,61
Kennedy,Jazmín de la china,157,61
Fontibón,Feijoa,102,61
Fontibón,Guayacan de Manizales,12,61
Fontibón,Mano de oso,118,61
Engativá,Holly liso,98,61
Engativá,"Liquidambar, estoraque",96,61
Suba,Acacia japonesa,93,61
Suba,"Cerezo, capuli",60,61
Suba,"Jazmin del cabo, laurel huesito",3,61
Barrios Unidos,Poligala,9,61
Teusaquillo,"Curapin, Campanilla",13,61
Teusaquillo,Fucsia arbustiva,13,61
Puente Aranda,Sietecueros nazareno,22,61
Rafael Uribe Uribe,"Cedro, cedro andino, cedro clavel",28,61
Ciudad Bolívar,Hayuelo,202,61
Usaquén,"Cipres, Pino cipres, Pino",97,60
Chapinero,"Caucho de la india, caucho",110,60
Chapinero,"Jazmin del cabo, laurel huesito",110,60
Chapinero,Tuno,110,60
Santa Fe,"Eucalipto de flor, eucalipto lavabotella, Calistemo",164,60
San Cristóbal,Acacia,196,60
San Cristóbal,Holly liso,32,60
San Cristóbal,Manzano,196,60
Usme,Aguacate,36,60
Tunjuelito,Cajeto,27,60
Bosa,Guayacán de Manizales,190,60
Bosa,Jazmin de la china,190,60
Kennedy,Cayeno,23,60
Kennedy,"Duraznillo, velitas",159,60
Kennedy,Garrocho,159,60
Kennedy,Jazmin de la china,148,60
Fontibón,Caucho sabanero,108,60
Fontibón,Chocho,12,60
Engativá,Hayuelo,11,60
Suba,"Cajeto, garagay, urapo",93,60
Suba,"Chicala, chirlobirlo, flor amarillo",352,60
Suba,"Chicalá, chirlobirlo, flor amarillo",2,60
Suba,Guayacan de Manizales,352,60
Suba,Mangle de tierra fria,60,60
Suba,Pitosporo,37,60
Suba,Roble,93,60
Barrios Unidos,Jazmín de la china,9,60
Puente Aranda,Sietecueros real,16,60
Rafael Uribe Uribe,Limón,28,60
Ciudad Bolívar,Ciprés enano,193,60
Usaquén,"Buganbil, veranera",38,59
Usaquén,Café,38,59
Usaquén,Garrocho,38,59
Santa Fe,Roble,356,59
San Cristóbal,Cajeto,196,59
San Cristóbal,Ligustrum,32,59
San Cristóbal,Mano de oso,201,59
San Cristóbal,Poligala,199,59
Tunjuelito,Grevilea,27,59
Bosa,Cajeto,147,59
Kennedy,Abutilon blanco,143,59
Kennedy,Chicala rosado,143,59
Kennedy,Dividivi de tierra fria,142,59
Kennedy,Falso pimiento,157,59
Kennedy,Mangle de tierra fria,143,59
Kennedy,"Nogal, cedro nogal, cedro negro",143,59
Kennedy,Pino romeron,138,59
Kennedy,Pino romeron,142,59
Fontibón,"Acacia baracatinga, acacia sabanera, acacia nigra",108,59
Fontibón,Chilco,118,59
Fontibón,"Nogal, cedro nogal, cedro negro",113,59
Engativá,Arrayan negro,98,59
Engativá,Falso pimiento,98,59
Suba,Acacia morada,2,59
Suba,Endrino,355,59
Suba,Hayuelo,2,59
Suba,"Pino colombiano, pino de pacho, pino romeron",62,59
Suba,Pino romeron,352,59
Suba,Pino romeron,355,59
Barrios Unidos,Alcaparro enano,8,59
Barrios Unidos,Chiripique,10,59
Teusaquillo,Fucsia arbustiva,160,59
Los Mártires,"Caballero de la noche, Jazmín, Dama de noche.",165,59
Los Mártires,Guayacan de Manizales,165,59
Antonio Nariño,Calistemo llorón,26,59
Antonio Nariño,Mano de oso,26,59
La Candelaria,Roble,191,59
Rafael Uribe Uribe,Fucsia arbustiva,30,59
Ciudad Bolívar,Chicala rosado,193,59
Ciudad Bolívar,Jazmin de la china,197,59
Ciudad Bolívar,Milflores,195,59
Usaquén,Cucubo,38,58
Usaquén,"Palma de cera, Palma blanca",105,58
Chapinero,Calistemo llorón,110,58
Chapinero,"Cipres, Pino cipres, Pino",111,58
Chapinero,"Jazmín del cabo, laurel huesito",152,58
Santa Fe,Tuno esmeraldo,164,58
San Cristóbal,"Espino, Garbancillo",204,58
San Cristóbal,Jazmin de la china,199,58
Tunjuelito,Gurrubo,27,58
Bosa,Caballero de la noche,147,58
Bosa,Roble,182,58
Kennedy,Acacia azul,23,58
Kennedy,"Chicala, chirlobirlo, flor amarillo",138,58
Kennedy,Eugenia,148,58
Fontibón,Gaque,102,58
Fontibón,Guayacan de Manizales,109,58
Engativá,"Aliso, fresno, chaquiro",99,58
Engativá,"Nogal, cedro nogal, cedro negro",5,58
Suba,Alcaparro doble,355,58
Suba,Caucho sabanero,2,58
Suba,Cucharo,61,58
Suba,Jazmin de la china,93,58
Suba,Mano de oso,3,58
Suba,Milflores,61,58
Suba,Yarumo,3,58
Puente Aranda,Falso pimiento,20,58
Rafael Uribe Uribe,Ligustrum,33,58
Usaquén,Otro,38,57
Chapinero,"Liquidambar, estoraque",111,57
San Cristóbal,Cajeto,204,57
San Cristóbal,"Cajeto, garagay, urapo",201,57
San Cristóbal,"Jazmin del cabo, laurel huesito",201,57
Usme,Ligustrum,342,57
Tunjuelito,Alcaparro doble,27,57
Tunjuelito,Pino romeron,27,57
Tunjuelito,Sietecueros nazareno,27,57
Bosa,Acacia japonesa,190,57
Bosa,Guayacan de Manizales,147,57
Kennedy,Acebo,159,57
Kennedy,"Nogal, cedro nogal, cedro negro",23,57
Fontibón,Palma fenix,12,57
Engativá,Eucalipto,96,57
Engativá,Eucalipto plateado,96,57
Suba,Calistemo lloron,355,57
Suba,"Curapin, Campanilla",37,57
Los Mártires,Jazmín de la china,165,57
Puente Aranda,Mangle de tierra fria,16,57
La Candelaria,Holly liso,191,57
Rafael Uribe Uribe,Chicala rosado,30,57
Rafael Uribe Uribe,Ligustrum,30,57
Rafael Uribe Uribe,"Palma de cera, Palma blanca",28,57
Ciudad Bolívar,"Urapán, Fresno",195,57
Usaquén,"Pino colombiano, pino de pacho, pino romeron",64,56
Santa Fe,"Caballero de la noche, Jazmin, Dama de noche",164,56
Santa Fe,"Cariseco, Tres hojas",164,56
Bosa,Abutilon  pequeño,190,56
Kennedy,Carbonero rojo,138,56
Kennedy,Ligustrum,143,56
Kennedy,Milflores,142,56
Fontibón,Guayabo brasilero,102,56
Fontibón,"Nogal, cedro nogal, cedro negro",118,56
Engativá,"Raque, San juanito",96,56
Engativá,"Urapán, Fresno",99,56
Suba,"Acacia negra, gris",62,56
Suba,Chilco,93,56
Suba,Ciruelo,37,56
Suba,Eugenia,352,56
Suba,Garrocho,62,56
Suba,"Jazmin del cabo, laurel huesito",61,56
Suba,"Jazmin del cabo, laurel huesito",62,56
Suba,Ligustrum,355,56
Suba,NN,37,56
Barrios Unidos,"Palma de cera, Palma de ramo",8,56
Teusaquillo,"Liquidambar, estoraque",13,56
Teusaquillo,Roble,14,56
Teusaquillo,Sauce llorón,15,56
Puente Aranda,"Jazmin del cabo, laurel huesito",16,56
Puente Aranda,"Pino colombiano, chaquiro",16,56
Ciudad Bolívar,"Liquidambar, estoraque",195,56
Usaquén,Mandarina,38,55
Santa Fe,Ligustrum,194,55
San Cristóbal,Milflores,32,55
San Cristóbal,Sauco,199,55
Usme,Cerezo,204,55
Usme,Ciro,204,55
Tunjuelito,Holly espinoso,27,55
Bosa,"Espino, Garbancillo",182,55
Kennedy,Abutilon blanco,23,55
Kennedy,Acacia japonesa,157,55
Kennedy,Calistemo lloron,21,55
Kennedy,Endrino,143,55
Kennedy,Falso pimiento,162,55
Fontibón,Corono,102,55
Fontibón,Jazmín de la china,118,55
Fontibón,Milflores,118,55
Engativá,"Cedro, cedro andino, cedro clavel",61,55
Engativá,"Jazmin del cabo, laurel huesito",98,55
Engativá,Tibar,61,55
Suba,Acacia japonesa,61,55
Suba,Cayeno,60,55
Suba,Venturosa,2,55
Barrios Unidos,Holly espinoso,8,55
Barrios Unidos,"Pino colombiano, chaquiro",8,55
Teusaquillo,Helecho arborecente,15,55
Teusaquillo,"Pino colombiano, chaquiro",13,55
Antonio Nariño,Palma washingtoniana,26,55
La Candelaria,Abutilón blanco,191,55
Ciudad Bolívar,Cajeto de Bogota,195,55
Ciudad Bolívar,Gurrubo,197,55
Usaquén,"Caballero de la noche, Jazmin, Dama de noche",94,54
Usaquén,"Pino colombiano, chaquiro",38,54
Chapinero,Salvio negro,110,54
Santa Fe,Durazno comun,164,54
San Cristóbal,Guayacan de Manizales,201,54
San Cristóbal,Holly liso,201,54
Tunjuelito,Chicala rosado,27,54
Bosa,Acacia morada,147,54
Bosa,Cajeto,158,54
Bosa,"Cajeto, garagay, urapo",190,54
Bosa,Fucsia arbustiva,182,54
Kennedy,"Aliso, fresno, chaquiro",23,54
Kennedy,Calistemo lloron,156,54
Kennedy,Eugenia,18,54
Kennedy,Ligustrum,159,54
Kennedy,Sauce lloron,23,54
Fontibón,Cipres italiano,102,54
Fontibón,Fucsia arbustiva,12,54
Fontibón,Roble australiano,6,54
Engativá,Chilco,99,54
Engativá,"Curapin, Campanilla",61,54
Engativá,Eucalipto pomarroso,5,54
Engativá,"Liquidámbar, estoraque",99,54
Suba,Alcaparro enano,93,54
Suba,"Cerezo, capuli",93,54
Suba,Falso pimiento,93,54
Suba,Pajarito,62,54
Barrios Unidos,Alcaparro enano,10,54
Barrios Unidos,Araucaria crespa,8,54
Barrios Unidos,Calistemo llorón,10,54
Teusaquillo,Algodoncillo,13,54
Teusaquillo,Cajeto,15,54
Teusaquillo,Fucsia,17,54
Teusaquillo,Naranjo,13,54
Puente Aranda,Sauco,22,54
La Candelaria,Cordoncillo,191,54
Usaquén,Palma Alejandra,105,53
Usaquén,Pomarroso,38,53
Chapinero,Guayacan de Manizales,110,53
Chapinero,Guayacan de Manizales,111,53
San Cristóbal,"Nogal, cedro nogal, cedro negro",32,53
San Cristóbal,Roble,192,53
Usme,Alcaparro enano,212,53
Usme,Alcaparro enano,217,53
Tunjuelito,Corono,27,53
Bosa,Otro,182,53
Kennedy,Jazmin de la china,159,53
Kennedy,"Jazmin del cabo, laurel huesito",156,53
Kennedy,Mano de oso,159,53
Fontibón,Arbol pipermint,102,53
Fontibón,Brevo,102,53
Fontibón,"Cerezo, capuli",109,53
Fontibón,Guayabo,102,53
Fontibón,Metrosideros,6,53
Fontibón,Palma fenix,6,53
Fontibón,"Pino colombiano, pino de pacho, pino romeron",118,53
Engativá,"Aliso, fresno, chaquiro",104,53
Engativá,Carbonero rojo,98,53
Engativá,Guayabo del peru,5,53
Engativá,Jazmin de la china,96,53
Engativá,Sauce llorón,5,53
Suba,Amarrabollo,2,53
Suba,Chilco,37,53
Suba,Guayacán de Manizales,355,53
Suba,"Liquidambar, estoraque",61,53
Suba,Palma Alejandra,60,53
Barrios Unidos,"Aliso, fresno, chaquiro",10,53
Barrios Unidos,"Chicala, chirlobirlo, flor amarillo",8,53
Teusaquillo,Araucaria crespa,13,53
Teusaquillo,"Chicala, chirlobirlo, flor amarillo",13,53
Teusaquillo,"Pino colombiano, pino de pacho, pino romeron",15,53
Puente Aranda,Caucho,16,53
Rafael Uribe Uribe,Eugenia,33,53
Rafael Uribe Uribe,Hayuelo,33,53
Rafael Uribe Uribe,Pino libro,28,53
Rafael Uribe Uribe,Pino romeron,30,53
Usaquén,Cerezo,94,52
Usaquén,Holly liso,97,52
Chapinero,Fucsia,111,52
Santa Fe,"Palma de cera, Palma de ramo",164,52
San Cristóbal,Acacia morada,196,52
San Cristóbal,"Cajeto, garagay, urapo",32,52
San Cristóbal,"Pino colombiano, pino de pacho, pino romeron",32,52
Usme,Laurel de cera,204,52
Usme,"Palma de cera, Palma blanca",204,52
Usme,"Raque, San juanito",204,52
Bosa,Caballero de la noche,182,52
Kennedy,"Grevilia, roble australiano",138,52
Kennedy,Mano de oso,138,52
Fontibón,Alcaparro enano,113,52
Fontibón,Chilco,108,52
Fontibón,Cipres,109,52
Fontibón,Corono,108,52
Fontibón,Mano de oso,102,52
Engativá,Mano de oso,107,52
Suba,"Cedro, cedro andino, cedro clavel",351,52
Suba,Ligustrum,93,52
Suba,Otro,93,52
Suba,Pajarito,351,52
Suba,"Pino colombiano, pino de pacho, pino romeron",93,52
Barrios Unidos,Pino romeron,10,52
Barrios Unidos,Roble,9,52
Teusaquillo,Arrayan blanco,13,52
Teusaquillo,Roble australiano,13,52
Puente Aranda,Corono,22,52
Puente Aranda,"Urapán, Fresno",20,52
Ciudad Bolívar,Cucubo,193,52
Usaquén,Calistemo lloron,64,51
Usaquén,Níspero,38,51
Santa Fe,Hayuelo,164,51
San Cristóbal,"Chicala, chirlobirlo, flor amarillo",201,51
San Cristóbal,Eugenia,199,51
Usme,"Jazmin del cabo, laurel huesito",36,51
Bosa,Chicala rosado,182,51
Bosa,Eugenia,161,51
Kennedy,Calistemo,18,51
Kennedy,Mano de oso,23,51
Kennedy,"Tibar, pagoda o rodamonte",23,51
Fontibón,Calistemo lloron,109,51
Fontibón,Ligustrum,108,51
Fontibón,Pino romeron,6,51
Fontibón,Sauco,109,51
Engativá,Amarrabollo,7,51
Engativá,"Nogal, cedro nogal, cedro negro",98,51
Engativá,Palma Alejandra,96,51
Suba,Carbonero rojo,60,51
Suba,"Duraznillo, velitas",60,51
Suba,Fucsia arbustiva,62,51
Suba,Guayacan de Manizales,53,51
Suba,"Jazmin del cabo, laurel huesito",53,51
Suba,Ligustrum,3,51
Suba,"Liquidambar, estoraque",2,51
Barrios Unidos,Lavanda,8,51
Teusaquillo,Eugenia,160,51
Antonio Nariño,Hayuelo,26,51
Puente Aranda,"Cajeto, garagay, urapo",19,51
Puente Aranda,Cayeno,24,51
Puente Aranda,"Liquidambar, estoraque",22,51
Puente Aranda,Poligala,19,51
Rafael Uribe Uribe,Guayacan de Manizales,28,51
Rafael Uribe Uribe,Holly liso,33,51
Rafael Uribe Uribe,Sombrilla japonesa,28,51
Ciudad Bolívar,Abutilon rojo y amarillo (Farolito),193,51
Ciudad Bolívar,Sauco,202,51
Ciudad Bolívar,"Tibar, pagoda o rodamonte",193,51
Usaquén,"Acacia baracatinga, acacia sabanera, acacia nigra",64,50
Usaquén,"Chicala, chirlobirlo, flor amarillo",56,50
Usaquén,"Jazmin del cabo, laurel huesito",95,50
Usaquén,Sietecueros real,97,50
Santa Fe,Pino romeron,356,50
Santa Fe,Sauce llorón,164,50
San Cristóbal,Chicala rosado,201,50
San Cristóbal,Guayacan de Manizales,199,50
Tunjuelito,Mangle de tierra fria,27,50
Bosa,Guayabo,147,50
Bosa,Gurrubo,182,50
Kennedy,"Buganbil, veranera",23,50
Kennedy,"Cedro, cedro andino, cedro clavel",156,50
Kennedy,"Cedro, cedro andino, cedro clavel",21,50
Fontibón,"Aliso, fresno, chaquiro",118,50
Fontibón,Cerezo,6,50
Fontibón,Gaque,118,50
Fontibón,Holly liso,108,50
Engativá,"Cajeto, garagay, urapo",5,50
Engativá,Mangle de tierra fría,96,50
Engativá,Mano de oso,98,50
Suba,Alcaparro doble,61,50
Suba,Chicala rosado,60,50
Suba,Otro,47,50
Suba,Salvio negro,62,50
Suba,Sauce lloron,2,50
Barrios Unidos,Calistemo llorón,8,50
Barrios Unidos,"Cariseco, Tres hojas",8,50
Barrios Unidos,Mangle de tierra fría,8,50
Barrios Unidos,"Pino colombiano, pino de pacho, pino romeron",10,50
Teusaquillo,Endrino,13,50
Teusaquillo,Feijoa,155,50
Puente Aranda,Caballero de la noche,22,50
