x,y,z
92867.069,105150.003,77.1161567
94461.853,102096.796,18.1516339
103937.755,114949.092,55.7313456
104467.5849,120701.1429,132.6603371
99357.431,93129.587,82.9315873
101051.731,117581.983,40.7712443
92538.386,97136.646,20.209
104043.724,109471.842,36.9949673
96681.547,97431.307,23.3921303
99426.59,113286.162,11
95153.2493,109512.8707,41.3391976
104365.301,122506.123,26.1341691
91930.82,97299.243,35.5610101
93132.844,102283.123,36.5987036
90280.964,98719.745,72.22469
98056.212,110788.705,40.8817355
100288.336,97741.259,11
96588.425,116997.58,30.9399801
91547.2124,107242.8942,15
93191.24,104716.227,17
102952.377,116631.95,7
90085.42,106307.3,142.4441162
97065.51,113238.505,11.9
103904.536,108680.121,135.676466
98147.846,111733.144,17
96698.193,118021.041,78.7537793
101838.142,109571.512,14
91842.873,90638.159,15
95780.452,117794.248,9.2
101564.989,108803.105,148.1839062
94926.418,104467.441,42.1047209
97125.306,97327.783,242.718965
103403.018,115923.852,13.5
93303.365,114564.825,331.1746462
103932.831,121679.989,50.9404507
104433.8114,117000.6373,9
93755.611,101322.833,21.5076661
103816.249,117634.752,11
98494.319,92729.586,25.1318151
89797.148,109295.875,17
98988.812,103217.529,75.367725
96055.596,113313.249,49.3332056
99535.898,113452.908,21.8382141
101633.126,109183.639,158.0909524
93712.74,112594.129,9
99243.435,95845.185,16
95165.4998,101616.0864,14
99784.1861,114188.3188,38.5865289
89246.068,102797.96,40.7778019
92070.841,104996.378,11
97122.828,94795.544,17
103893.475,119796.921,92.416122
84901.0353,102488.4958,16
94252.307,115763.656,56.3447698
89592.921,102234.18,25.9202901
87680.249,104775.331,27.154355
95641.639,102058.985,43.4973723
102988.529,106090.726,16
98954.588,99346.206,70.8507672
98219.833,98534.615,27.6020039
99560.004,113455.288,12
101040.858,114399.967,96.3271342
91456.281,109475.667,56.3047026
96456.1586,96733.716,159.6820423
95802.494,96360.989,52.5920711
106005.89,117917.289,106.1426331
90625.723,101252.917,163.8499322
94253.797,97574.203,29.0987276
102021.95,111884.47,72.5186484
